name,status,description,start_date,end_date,requirements,funding,contact,url
Transformation Commercialisation,open,"The project aims to support agricultural producers and their groups in the transformation and commercialization of agricultural products. The objectives include creating added value for farms, diversifying income, improving competitiveness and resilience, developing regional sectors and local food circuits, promoting sustainable agricultural practices, and preserving regional know-how and diversity. Eligible actions include the creation or development of processing workshops or direct marketing activities of agricultural products. Eligible structures include individual farmers, agricultural cooperatives, research institutions, and agricultural associations. The funding amount for the project is €3,440,000, with a minimum eligible investment of €30,000. The deadline for the project is December 14, 2023. The application process includes both a simplified initial application and a complete application through the online platform EUROPAC. The project is co-financed by the European Union.",15 June 2023,14 December 2023,"- Favoriser la création de valeur ajoutée au profit des exploitations agricoles et la diversification de leurs revenus
- Améliorer la compétitivité et la résilience des exploitations agricoles par le développement, l'adaptation, l'innovation et en renforçant les démarches collectives
- Valoriser et développer des filières régionales, notamment des circuits alimentaires de proximité
- Encourager les changements de pratiques agricoles et de systèmes de production pour répondre aux attentes sociétales (agroécologie, bio, etc.)
- Préserver et valoriser les savoir-faire régionaux et la diversité des productions agricoles, dont l'élevage","3,440,000",NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-transformation-commercialisation,
FEADER - Appel à projets 2023 Elevage,open,"Cet appel à projets vise à soutenir les investissements visant à améliorer la performance globale et la durabilité des filières de l'élevage. Les actions éligibles comprennent l'amélioration de l'autonomie alimentaire des exploitations, la mise en valeur des surfaces en herbe pour le pâturage, l'amélioration des conditions et de la qualité de vie au travail des agriculteurs et de leurs salariés, l'amélioration de la compétitivité et de l'orientation vers les attentes du marché, la création de valeur ajoutée et l'optimisation des charges, l'amélioration des conditions d'élevage en termes de bien-être animal et de biosécurité, et la gestion des effluents. Les exploitants agricoles individuels, les personnes morales ayant une activité agricole, les établissements de développement et de recherche agricole, les associations agricoles, les coopératives, les collectivités territoriales, les propriétaires privés et les gestionnaires privés sont éligibles. La demande peut être déposée en ligne. L'appel à projets est ouvert du 15 juin 2023 au 14 décembre 2023.",15 June 2023,14 December 2023,"- Improve the overall performance and sustainability of livestock sectors.
- Increase the self-sufficiency of farming operations.
- Enhance the use of grassland for grazing.
- Improve working conditions and quality of life for farmers and their employees.
- Increase competitiveness and alignment with market expectations.
- Create added value and optimize costs.
- Improve animal welfare and biosecurity conditions.
- Manage effluents beyond regulatory obligations.
- Eligible investments include equipment and infrastructure that contribute to these objectives.",NA,NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-elevage,
Appel à projets 2023 Desserte forestière,open,"Cet appel à projets vise à soutenir les infrastructures de mobilisation des bois et de mise en valeur de la forêt dans sa dimension multifonctionnelle. Les actions éligibles comprennent la création et la mise au gabarit des routes forestières, l'ouverture de pistes accessibles aux engins de débardage, le marquage de cloisonnements, le revêtement des routes forestières sur de courts tronçons, les travaux de résorption de points noirs et les travaux d'insertion paysagère. Les structures éligibles sont les propriétaires forestiers privés et leurs associations, les groupements forestiers, les sociétés civiles immobilières et les groupements fonciers ruraux, les personnes morales dont les forêts bénéficient du régime forestier, et les structures de regroupement des investissements. Les investissements doivent être localisés en Hauts-de-France et des modalités de sélection sont prévues. Le dépôt des dossiers peut être effectué via la plateforme EUROPAC. L'appel à projets est ouvert du 15 juin 2023 au 14 décembre 2023.",15 June 2023,14 December 2023,"- Infrastructure of wood mobilization and forest development
- Creation and adaptation of forest roads for timber trucks
- Opening of tracks for logging equipment
- Marking of boundaries
- Resurfacing of forest roads in specific cases
- Resolving black spots for connection to a public road
- Landscape integration and consideration of biodiversity
- Eligible entities: private forest owners, forest associations, forest groups, rural property companies, legal entities with forests under forest regime
- Excluded: state-owned forests managed by the ONF
- Projects must be located in Hauts-de-France
- Selection criteria apply
- The EUROPAC online platform allows for the submission of complete applications
- A simplified and incomplete application can be submitted prior to the launch of EUROPAC
- Applicants without adequate internet access can use provided workstations
- Application period is from June 15th, 2023 to December 14th, 2023 (midnight)",NA,NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-desserte-forestiere,
NA,NA,NA,NA,NA,NA,NA,NA,NA,
Formation et acquisition de compétences,open,"Cet appel à projets vise à soutenir des actions de formation dans les domaines de l'agriculture, de la foresterie et de l'alimentation. Les objectifs sont d'améliorer ou d'acquérir des connaissances et compétences dans ces secteurs afin d'améliorer les pratiques. Les types d'actions éligibles comprennent le pilotage stratégique des entreprises agricoles, la gestion et la valorisation de l'herbe, le maintien de l'élevage, le développement de la valeur ajoutée des exploitations, l'organisation et l'amélioration des conditions de travail, le développement de l'agriculture biologique, et les pratiques agro-écologiques et climatiques. Les bénéficiaires finaux sont les actifs travaillant dans l'agriculture, l'agroalimentaire et la foresterie. Le montant financier prévisionnel pour cet appel à projets est de 250 000 €, et les demandes doivent être déposées auprès de la Région Hauts-de-France. L'appel à projets est ouvert du 15 juin 2023 au 14 juin 2025.",15 June 2023,14 June 2025,"1. Support the implementation of training actions in the field of continuing professional development.
2. Improve or acquire knowledge and skills in the agricultural, forestry, and food sectors.
3. Eligible actions include strategic management of businesses, grass management, livestock maintenance, value-added development of farms, work organization and improvement, organic farming, agro-ecological and climate practices.
4. Eligible beneficiaries include agricultural workers, employees and directors of agri-food industries, and forestry sector employees.
5. The allocated budget for the 2023-2025 call for projects is €250,000.
6. Applications can be submitted through the EUROPAC platform or sent to the Regional Department of Agriculture and Rural Development.
7. The call for projects is open from June 15, 2023, to June 14, 2025.","250,000","Contact: 
Région Hauts-de-France - Direction de l’Agriculture et développement rural
151 avenue du Président Hoover - LILLE Cedex
Phone: 03 74 27 79 89",https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-formation-et-acquisition-de-competences,
Mesure agroenvironnementale et climatique forfaitaire - Transition des pratiques,NA,"Cet appel à projets vise à soutenir la transition agro-écologique des exploitations agricoles en compensant les coûts supplémentaires et les pertes financières liés à ce projet sur une période de 5 ans. L'aide forfaitaire accordée est de 18 000 €. Les actions éligibles incluent la réduction de l'utilisation de produits phytosanitaires, l'amélioration du bilan carbone et le renforcement de l'autonomie protéique. Les agriculteurs, les personnes morales agricoles, les établissements de développement et d'enseignement agricole, ainsi que les associations agricoles sont admissibles. Les demandes doivent être déposées en ligne via le site web de la région Hauts-de-France.",NA,NA,"- Engage agricultural enterprises in a project of agro-ecological transition
- Compensate the additional costs and lost income associated with the transition project over 5 years
- Conduct an initial agro-ecological diagnosis
- Define main outcome objectives in one of the three areas: reduction of pesticide use, improvement of the carbon footprint, improvement of protein autonomy
- Define additional outcome objectives
- Develop and monitor a 5-year progress plan
- Receive training in agro-ecology
- Conduct a final agro-ecological diagnosis to verify the achievement of expected results
- Eligible actions: reducing treatment frequency indicator, improving carbon footprint, improving protein autonomy in livestock farming
- Eligible structures: individual farmers, agricultural entities, development, education and research establishments, associations
- Applications to be submitted online on the specified website",NA,"Contact:
Phone: 03 74 27 79 89
Email: Not mentioned",https://europe-en-hautsdefrance.eu/feader-maec-transition-des-pratiques,
"Appel à projets national ""Innovation - Promotion des activités aquacoles durables""",open,"L'appel à projets ""Innovation - Promotion des activités aquacoles durables"" vise à développer une aquaculture durable en conciliant les enjeux économiques, environnementaux et sociétaux. Les projets éligibles sont des projets collaboratifs visant le développement d'équipements, de pratiques ou procédés innovants dans le domaine de l'aquaculture. Les structures éligibles comprennent les entreprises liées à l'aquaculture, les organismes scientifiques ou techniques, les organismes de formation, les exploitations aquacoles, etc. Le montant de l'aide publique accordée par projet varie entre 30 000 € et 600 000 €. Les candidatures doivent être soumises sur la plateforme dématérialisée de la Région Bretagne avant le 30 septembre 2023.",01 June 2023,30 September 2023,"- Develop innovative or significantly improved equipment, practices or processes for sustainable aquaculture
- Promote the development of aquaculture that reconciles economic, environmental, and societal challenges
- Address environmental issues such as climate change adaptation and mitigation, reduction of environmental footprint, and optimization of production tools
- Encourage diversification of aquaculture activities
- Improve and optimize animal welfare in aquaculture
- Open to collaborative projects involving businesses, aquaculture producers, representative organizations, scientific or technical institutions, training institutions, public establishments, suppliers, and other relevant organizations or companies
- Minimum public funding per project: €30,000
- Maximum public funding per project: €600,000
- Applications must be submitted through the online platform of the Bretagne region by September 30, 2023",NA,NA,https://europe-en-hautsdefrance.eu/feampa-appel-a-projets-national-innovation-promotion-des-activites-aquacoles-durables,
"Appel à projets ""Innovation - Limitation de l'impact de l'activité de pêche sur le milieu marin""",open,"L'appel à projets national ""Innovation - Limitation de l'impact de l'activité de pêche sur le milieu marin"" vise à financer des projets collaboratifs pour développer des pratiques et techniques de pêche plus sélectives et respectueuses de l'environnement. Les structures éligibles incluent les organisations professionnelles et interprofessionnelles de la pêche, les entreprises de pêche, les organismes scientifiques ou techniques liés au milieu marin, les pôles de compétitivité, les ONG, les gestionnaires d'aires marines protégées et d'autres organismes ou entreprises pertinents pour le projet. Le soutien financier varie de 50 000 € à 500 000 € par projet, et les dépôts peuvent être effectués sur la plateforme dématérialisée de la Région Bretagne jusqu'au 30 septembre 2023.",01 June 2023,30 September 2023,"- Develop innovative fishing practices and techniques that are more selective and environmentally friendly
- Minimize the impact of fishing activities on marine ecosystems
- Reduce accidental captures of sensitive species
- Support collaborative projects for the development of new or improved equipment or processes
- Accelerate the market availability of technological innovations for the preservation of marine ecosystems
- Eligible organizations include professional fishing organizations, fishing enterprises, research institutions, NGOs, marine protected area managers, and other relevant organizations
- Funding range: €50,000 to €500,000 per project
- Deadline for project submission: September 30, 2023
- The regional government of Bretagne is leading this national call for projects. Applicants must submit their proposals through their online platform.",NA,NA,https://europe-en-hautsdefrance.eu/feampa-appel-a-projets-national-innovation-limitation-de-limpact-de-lactivite-de-peche-sur-le-milieu-marin,
"FEAMPA - Appel à projets national ""Innovation - Conditionnement et valorisation des produits de la pêche et de l'aquaculture""",open,"L'appel à projets national ""Innovation - Conditionnement et valorisation des produits de la pêche et de l'aquaculture"" vise à financer des projets innovants visant la valorisation des produits de la pêche et de l'aquaculture en France. Les objectifs de cet appel à projets sont d'adapter les produits à la demande des consommateurs, de développer de nouveaux marchés pour les espèces à faible valeur commerciale, et de valoriser les coproduits. Les structures éligibles comprennent les entreprises de la filière pêche et aquaculture, les organismes scientifiques ou techniques, les ports de pêche, les organisations professionnelles ou interprofessionnelles, ainsi que d'autres organismes ou entreprises pertinents pour le projet. Le soutien financier peut aller de 50 000 € à 300 000 € par projet. Les dépôts de projets doivent être effectués via la plateforme dématérialisée de la Région Bretagne avant le 30 septembre 2023.",01 June 2023,30 September 2023,"- The aim of the project is to finance innovative projects that promote the packaging and valorization of fishery and aquaculture products.
- The focus areas of the projects should include adapting products to consumer demand, developing new markets for low-value species, and valorizing byproducts with high added value.
- Eligible organizations include companies in the fishery and aquaculture sector, cooperatives, fishermen, ports, professional organizations, scientific or technical institutions, suppliers, and any other relevant stakeholders.
- The minimum and maximum amount of public funding per project is set at €50,000 and €300,000 respectively.
- The project must be submitted through the digital platform of the Brittany Region before September 30, 2023.",NA,NA,https://europe-en-hautsdefrance.eu/feampa-appel-a-projets-national-innovation-conditionnement-et-valorisation-des-produits-de-la-peche-et-de-laquaculture,
Economies d'énergie à bord des navires de pêche.,open,"La Région Bretagne lance un appel à projets national intitulé ""Economies d'énergie à bord des navires de pêche"". L'objectif est d'encourager les solutions innovantes permettant de réduire la consommation énergétique des navires de pêche, en particulier pour lutter contre la dépendance aux carburants fossiles. Les opérateurs éligibles sont les entreprises de pêche, les pêcheurs à pied professionnels, les récoltants de goémons, les ports de pêche, les organisations professionnelles ou interprofessionnelles, les entreprises et structures collectives professionnelles liées aux pêches maritimes, ainsi que les organismes scientifiques ou techniques. Les projets ne doivent pas être déjà commencés au moment du dépôt. Le dépôt des projets se fait sur la plateforme dématérialisée de la Région Bretagne avant le 30 septembre 2023. L'appel à projets est ouvert du 1er juin 2023 au 30 septembre 2023. Ce projet est cofinancé par l'Union européenne.",01 June 2023,30 September 2023,"- Find innovative solutions to reduce energy consumption on fishing vessels
- Accelerate the market implementation of technological innovations that significantly contribute to energy savings on fishing vessels
- Support efforts towards energy efficiency in the fishing industry
- Focus on short-term solutions to decrease energy consumption for fishing companies
- Develop experimental prototypes and conduct real-world testing
- Eligible applicants include fishing companies, professional fishermen, seaweed harvesters, fishing ports, professional organizations, scientific or technical organizations, and other relevant entities
- Projects should not have started at the time of submission
- Applications must be submitted through the Region Bretagne platform
- The call for projects is open from June 1, 2023, to September 30, 2023",NA,NA,https://europe-en-hautsdefrance.eu/feampa-appel-a-projets-national-economies-denergie-a-bord-des-navires-de-peche,
